Ref,Val,Package,PosX,PosY,Rot,Side
"J15_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",300.760000,-305.000000,0.000000,top
"J16_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",268.000000,-94.777500,180.000000,top
"J16_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",292.000000,-94.777500,180.000000,top
"J17_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",372.760000,-305.000000,0.000000,top
"J17_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",348.680000,-305.000000,0.000000,top
"J18_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",412.000000,-94.777500,180.000000,top
"J18_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",436.000000,-94.777500,180.000000,top
"J19","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",387.060000,-164.095000,90.000000,top
"J20","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",391.865000,-235.315000,-90.000000,top
"J21_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",364.000000,-94.777500,180.000000,top
"J21_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",388.000000,-94.777500,180.000000,top
"L1","22uH","L_Radial_D7.0mm_P3.00mm",181.725000,-199.700000,0.000000,top
"PS1","K7805-3AR3","CONV_K7805-3AR3",204.860000,-199.715000,0.000000,top
"Q1","DMN10H220L","SOT-23",227.390000,-270.807500,-90.000000,top
"Q2","DMN10H220L","SOT-23",178.180000,-128.677500,90.000000,top
"Q3","RD3P130S","TO-252-2",225.590000,-281.595000,-90.000000,top
"Q4","RD3P130S","TO-252-2",179.980000,-117.850000,90.000000,top
"Q5","NDC7002N","SOT-23-6",177.700000,-270.992500,90.000000,top
"Q6","NDC7002N","SOT-23-6",227.865000,-128.307500,-90.000000,top
"Q7","DMN10H220L","SOT-23",245.875000,-270.812500,-90.000000,top
"Q8","DMN10H220L","SOT-23",159.705000,-128.677500,90.000000,top
"Q9","RD3P130S","TO-252-2",244.075000,-281.595000,-90.000000,top
"Q10","RD3P130S","TO-252-2",161.505000,-117.850000,90.000000,top
"Q11","IRF9Z24S","TO-263-2",171.470000,-288.420000,-90.000000,top
"Q12","IRF9Z24S","TO-263-2",234.085000,-110.990000,90.000000,top
"Q13","DMN10H220L","SOT-23",320.665000,-270.812500,-90.000000,top
"Q14","DMN10H220L","SOT-23",271.110000,-128.527500,90.000000,top
"Q15","RD3P130S","TO-252-2",318.865000,-281.595000,-90.000000,top
"Q16","RD3P130S","TO-252-2",272.910000,-117.815000,90.000000,top
"Q17","NDC7002N","SOT-23-6",272.155000,-271.035000,90.000000,top
